gsis_id,name,position,team,age,completions_per_game,attempts_per_game,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0026498,Matthew Stafford,QB,LA,38.55,22.131,34.199,261.842,2.05,0.5309999999999999,1.6989999999999998,1.6640000000000001,0.0,17.57
00-0035282,Easton Stick,QB,IND,30.96,4.44,6.96,45.160000000000004,0.12,0.04000000000000001,1.08,5.760000000000001,0.04000000000000001,2.702
00-0035264,Jarrett Stidham,QB,DEN,30.05,4.0,6.6000000000000005,49.6,0.2,0.1,2.0,1.05,0.0,2.689
00-0041194,Jack Strand,QB,ATL,22.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039163,C.J. Stroud,QB,HOU,24.89,19.932000000000002,31.146,229.151,1.34,0.564,3.153,13.804000000000002,0.07500000000000001,15.018
00-0036212,Tua Tagovailoa,QB,ATL,28.48,21.784,31.184,227.59199999999998,1.576,0.891,1.592,3.74,0.0,13.873000000000001
00-0028118,Tyrod Taylor,QB,GB,37.06,11.535,18.064999999999998,109.58500000000001,0.9649999999999999,0.475,3.46,17.805,0.085,9.71
00-0037327,Skylar Thompson,QB,BAL,29.22,3.15,4.95,28.05,0.0,0.0,0.15,0.6,0.0,1.182
00-0036928,Kyle Trask,QB,CAR,28.47,0.099,0.199,0.501,0.0,0.0,0.601,-0.499,0.0,-0.031000000000000003
00-0033869,Mitchell Trubisky,QB,TEN,32.01,6.519,9.629999999999999,71.119,0.7350000000000001,0.2,2.4010000000000002,2.946,0.08000000000000002,6.4110000000000005
00-0040464,DJ Uiagalelei,QB,LAC,25.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040676,Cam Ward,QB,TEN,24.25,19.0,31.76,186.41,0.88,0.41,2.29,9.35,0.12,10.98
00-0033537,Deshaun Watson,QB,CLE,30.95,9.370999999999999,14.957999999999998,86.366,0.44699999999999995,0.263,2.1950000000000003,11.076,0.07600000000000001,6.182
00-0032950,Carson Wentz,QB,MIN,33.65,16.2,24.549999999999997,171.89999999999998,1.0,0.7,4.95,16.900000000000002,0.2,12.967
00-0039918,Caleb Williams,QB,CHI,24.77,19.875,33.278749999999995,223.03375,1.4362499999999998,0.38749999999999996,4.61625,25.0475,0.11249999999999999,17.3325
00-0038128,Malik Willis,QB,MIA,27.25,6.151,7.574999999999999,87.65100000000001,0.525,0.0,4.2490000000000006,24.375,0.301,9.29
00-0037013,Zach Wilson,QB,NO,27.06,4.434000000000001,7.509,41.85,0.134,0.11599999999999999,0.9750000000000001,3.641,0.0,2.173
00-0031503,Jameis Winston,QB,NYG,32.63,11.934,20.639000000000003,161.14600000000002,0.755,0.762,2.012,5.8999999999999995,0.192,11.189
00-0039150,Bryce Young,QB,CAR,25.08,18.451,29.756999999999998,181.549,1.1789999999999998,0.661,3.0989999999999998,15.249,0.189,12.948
00-0038108,Bailey Zappe,QB,NYJ,27.33,7.34,13.54,76.44,0.42,0.78,0.94,2.2600000000000002,0.020000000000000004,3.484
