gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0034960,Jakobi Meyers,WR,JAX,29.79,4.973000000000001,7.343999999999999,56.724000000000004,0.276,1.1640000000000001,0.024,12.586
00-0038824,Ryan Miller,WR,NYG,26.51,0.509,0.886,6.156,0.121,0.0,0.0,1.8619999999999999
00-0035298,Scott Miller,WR,CHI,29.07,1.349,2.1399999999999997,12.578,0.036,0.0,0.0,2.824
00-0036255,Denzel Mims,WR,DAL,28.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038976,Marvin Mims Jr.,WR,DEN,24.44,2.1980000000000004,3.03,24.323999999999998,0.152,3.717,0.035,6.385
00-0039062,Jonathan Mingo,WR,DAL,25.35,1.0370000000000001,2.534,11.653,0.0,0.108,0.0,2.17
00-0039890,Adonai Mitchell,WR,NYJ,23.88,1.7937500000000002,4.1025,24.574999999999996,0.075,-0.025000000000000022,0.0,4.61625
00-0035045,D.J. Montgomery,WR,IND,29.77,0.30000000000000004,0.8,5.6000000000000005,0.1,0.0,0.0,1.46
00-0040919,Tyren Montgomery,WR,TEN,25.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036309,Darnell Mooney,WR,NYG,28.82,2.707,5.258,39.278999999999996,0.14200000000000002,0.072,0.0,7.494
00-0032398,Chris Moore,WR,BAL,33.19,0.8440000000000001,1.6159999999999999,16.003999999999998,0.05,0.97,0.0,2.84
00-0033589,David Moore,WR,CAR,31.61,0.97,1.539,10.989,0.094,2.0,0.0,2.831
00-0034827,DJ Moore,WR,BUF,29.36,4.328,6.572,53.153999999999996,0.374,3.896,0.041999999999999996,12.638000000000002
00-0036980,Elijah Moore,WR,PHI,26.41,2.315,4.045,23.715,0.041999999999999996,1.4909999999999999,0.055,5.375
00-0040375,Jordan Moore,WR,CIN,24.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038090,Skyy Moore,WR,GB,25.96,0.4690000000000001,1.089,6.314,0.016,0.679,0.0,1.2610000000000001
00-0038740,Jalen Moreno-Cropper,WR,NO,25.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040590,Konata Mumpfield,WR,LA,23.84,1.0,2.3,9.2,0.1,0.0,0.0,2.52
00-0039337,Malik Nabers,WR,NYG,23.08,5.538749999999999,9.7175,72.445,0.48874999999999996,0.048749999999999995,0.0,15.764999999999997
00-0039075,Puka Nacua,WR,LA,25.24,7.42,9.964,98.077,0.46099999999999997,5.582,0.056999999999999995,20.866
00-0037291,Jalen Nailor,WR,LV,27.48,1.616,2.8,23.274,0.24,0.299,0.0,5.454000000000001
00-0040551,Nick Nash,WR,WAS,27.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040558,Isaiah Neyor,WR,GB,25.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039679,Ben Nikkel,WR,IND,26.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040138,Jaylin Noel,WR,HOU,23.97,1.53,2.06,17.18,0.12,0.71,0.0,4.02
00-0039919,Rome Odunze,WR,CHI,24.23,3.48625,6.915,50.61749999999999,0.38,0.32999999999999996,0.0,10.8075
00-0037239,Chris Olave,WR,NO,26.16,5.413,8.248999999999999,65.383,0.378,0.169,0.0,14.144
00-0039650,Bryce Oliver,WR,TEN,26.27,0.59375,0.7324999999999999,6.955,0.0,0.0,0.0,1.29
00-0035645,Gunner Olszewski,WR,NYG,29.74,0.326,0.42100000000000004,4.53,0.03,0.0,0.0,1.2040000000000002
00-0036345,K.J. Osborn,WR,TEN,29.21,0.9400000000000002,1.771,9.642,0.08200000000000002,0.0,0.0,2.401
00-0040352,Coleman Owen,WR,IND,25.42,0.0,0.5,0.0,0.0,0.0,0.0,0.0
00-0036988,Josh Palmer,WR,BUF,26.92,2.455,4.059,35.924,0.06100000000000001,0.12,0.0,6.462
00-0039397,Tejhaun Palmer,WR,NE,26.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039052,Trey Palmer,WR,NO,25.4,0.698,1.241,7.971,0.056999999999999995,0.258,0.0,1.831
00-0040337,Eli Pancol,WR,IND,26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033375,Tim Patrick,WR,NYJ,32.75,1.2349999999999999,1.804,15.071,0.175,0.0,0.0,3.838
00-0041215,Ben Patterson,WR,CLE,23.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041435,Dean Patterson IV,WR,TB,24.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041361,Will Pauling,WR,SF,23.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039916,Ricky Pearsall,WR,SF,25.96,3.5575,5.248749999999999,50.30375,0.10124999999999999,1.3962499999999998,0.0,9.3375
00-0041216,Trebor Pena,WR,JAX,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034860,Dante Pettis,WR,BUF,30.84,1.01,1.74,12.440000000000001,0.036,0.0,0.0,2.4299999999999997
00-0037247,George Pickens,WR,DAL,25.48,4.74,7.486000000000001,74.72900000000001,0.386,0.08300000000000002,0.0,14.563
00-0037664,Alec Pierce,WR,IND,26.31,2.634,4.856999999999999,54.933,0.356,0.0,0.0,10.259
00-0036252,Michael Pittman,WR,PIT,28.89,5.01,7.297000000000001,52.61,0.312,0.0,0.0,12.215
00-0036647,Cornell Powell,WR,PIT,28.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040239,Kaden Prather,WR,GB,23.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041152,Kobe Prentice,WR,NE,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040597,Brennan Presley,WR,LA,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040506,Myles Price,WR,MIN,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040405,Jamaal Pritchett,WR,NYJ,23.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037422,Kendric Pryor,WR,CIN,28.63,0.3,0.3,2.6999999999999997,0.0,0.0,0.0,0.57
00-0032464,Kalif Raymond,WR,CHI,32.05,1.6380000000000001,2.067,20.763,0.098,1.5170000000000001,0.0,4.784000000000001
00-0036387,Jalen Reagor,WR,MIA,27.64,0.456,1.025,7.353,0.0,0.249,0.0,1.264
00-0041451,Brock Rechsteiner,WR,NO,24.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040265,Ja'Seem Reed,WR,CAR,23.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039146,Jayden Reed,WR,GB,26.32,3.6719999999999997,4.699,45.735,0.305,7.165,0.041999999999999996,11.041
00-0038519,Nikko Remigio,WR,KC,26.81,0.155,0.395,3.63,0.0,0.395,0.0,0.558
00-0040522,Xavier Restrepo,WR,TEN,24.37,1.5,3.5,20.5,0.0,0.0,0.0,3.55
00-0039067,Rashee Rice,WR,KC,26.34,6.098,8.326,69.014,0.548,1.287,0.06,16.905
00-0040275,JP Richardson,WR,CHI,24.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034837,Calvin Ridley,WR,TEN,31.68,3.237,6.288,51.54299999999999,0.16599999999999998,1.242,0.018,9.6
00-0041257,Eric Rivers Jr.,WR,TB,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041004,Chase Roberts,WR,LV,25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032775,Demarcus Robinson,WR,SF,31.93,1.981,3.354,28.044000000000004,0.258,0.7909999999999999,0.0,6.444
00-0038117,Wan'Dale Robinson,WR,TEN,25.64,5.316,7.8870000000000005,51.025999999999996,0.193,1.633,0.014000000000000002,11.811
