gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game,market_value
00-0037005,Tommy Tremble,TE,CAR,26.23,1.896,2.621,17.906,0.165,0.0,0.0,4.628,0
00-0040939,Michael Trigg,TE,DAL,24.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
00-0037078,Cole Turner,TE,MIA,26.45,0.27599999999999997,0.376,3.0,0.0,0.0,0.0,0.576,0
00-0040702,Mitch Van Vooren,TE,DAL,25.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0032394,Nick Vannett,TE,SEA,33.47,0.626,0.7010000000000001,3.975,0.075,0.0,0.0,1.472,0
00-0041195,Jack Velling,TE,ATL,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041422,Dan Villari,TE,LA,24.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0031610,Darren Waller,TE,CAR,33.95,2.201,3.1239999999999997,24.92,0.35100000000000003,0.22,0.0,6.816,64
00-0040128,Tyler Warren,TE,IND,24.26,4.47,6.59,48.06,0.24,0.47,0.06,11.09,2952
00-0038558,Darnell Washington,TE,PIT,25.02,1.8039999999999998,2.481,20.137999999999998,0.064,0.0,0.0,4.191000000000001,58
00-0040094,Tre Watson,TE,KC,23.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039518,Treyton Welch,TE,NO,25.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039305,Jack Westover,TE,NE,27.21,0.15625,0.3125,0.0,0.0,0.0,0.0,0.15625,0
00-0038710,Blake Whiteheart,TE,CLE,26.43,0.368,0.722,2.407,0.042,0.0,0.0,0.867,0
00-0038589,Josh Whyle,TE,GB,26.97,1.176,1.5750000000000002,10.047,0.128,0.0,0.0,2.972,0
00-0039824,Jared Wiley,TE,KC,25.81,0.6875,0.6875,3.8749999999999996,0.0,0.0,0.0,1.0749999999999997,0
00-0038643,Brayden Willis,TE,SF,26.79,0.0,0.20500000000000002,0.0,0.0,0.0,0.0,0.0,0
00-0039023,Joel Wilson,TE,TEN,26.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036429,Charlie Woerner,TE,ATL,28.86,0.8039999999999999,1.005,5.219,0.0,0.0,0.0,1.33,0
00-0037755,Jelani Woods,TE,NYJ,27.88,0.25,0.75,1.0,0.0,0.0,0.0,0.35,0
00-0036754,Brock Wright,TE,DET,27.75,1.517,2.122,11.498999999999999,0.201,0.0,0.0,3.878,0
00-0040927,Dae'Quan Wright,TE,CLE,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039686,Colson Yankoff,TE,WAS,26.49,0.125,0.1875,1.125,0.0,0.0,0.0,0.2375,0
00-0039936,Thomas Yassmin,TE,GB,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036510,Kenny Yeboah,TE,ARI,27.82,0.347,0.608,3.879,0.042,0.0,0.0,0.9920000000000001,0
00-0040509,Ben Yurosek,TE,MIN,24.44,0.33,0.5,2.33,0.0,0.0,0.0,0.57,0
00-0036534,Shane Zylstra,TE,BUF,29.77,1.65,2.65,13.3,0.0,0.0,0.0,2.98,0
